Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
Dadar & Nagar Haveli,Dadra & Nagar Haveli and Daman & Diu,DELKAR KALABEN MOHANBHAI,Bharatiya Janata Party,121074.0,AJIT RAMJIBHAI MAHALA,Indian National Congress,63490.0,57584.0
Etawah,Uttar Pradesh,JITENDRA KUMAR DOHARE,Samajwadi Party,490747.0,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,432328.0,58419.0
Allahabad,Uttar Pradesh,UJJWAL RAMAN SINGH,Indian National Congress,462145.0,NEERAJ TRIPATHI,Bharatiya Janata Party,403350.0,58795.0
Nanded,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894.0,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,469452.0,59442.0
Asansol,West Bengal,SHATRUGHAN PRASAD SINHA,All India Trinamool Congress,605645.0,SURENDRAJEET SINGH AHLUWALIA,Bharatiya Janata Party,546081.0,59564.0
Kishanganj,Bihar,MOHAMMAD JAWED,Indian National Congress,402850.0,MUJAHID ALAM,Janata Dal  (United),343158.0,59692.0
Arrah,Bihar,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),529382.0,R. K. SINGH,Bharatiya Janata Party,469574.0,59808.0
JANJGIR,Chhattisgarh,KAMLESH JANGDE,Bharatiya Janata Party,678199.0,DR. SHIVKUMAR DAHARIYA,Indian National Congress,618199.0,60000.0
Ujiarpur,Bihar,NITYANAND RAI,Bharatiya Janata Party,515965.0,ALOK KUMAR MEHTA,Rashtriya Janata Dal,455863.0,60102.0
Latur,Maharashtra,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,609021.0,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,547140.0,61881.0
Kadapa,Andhra Pradesh,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,605143.0,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,542448.0,62695.0
HISAR,Haryana,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,570424.0,RANJIT SINGH,Bharatiya Janata Party,507043.0,63381.0
Alappuzha,Kerala,K. C VENUGOPAL,Indian National Congress,404560.0,A. M ARIFF,Communist Party of India  (Marxist),341047.0,63513.0
Chalakudy,Kerala,BENNY BEHANAN,Indian National Congress,394171.0,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),330417.0,63754.0
Baharaich,Uttar Pradesh,ANAND KUMAR,Bharatiya Janata Party,518802.0,RAMESH CHANDRA,Samajwadi Party,454575.0,64227.0
Barrackpur,West Bengal,PARTHA BHOWMICK,All India Trinamool Congress,520231.0,ARJUN SINGH,Bharatiya Janata Party,455793.0,64438.0
Saharanpur,Uttar Pradesh,IMRAN MASOOD,Indian National Congress,547967.0,RAGHAV LAKHANPAL,Bharatiya Janata Party,483425.0,64542.0
SURGUJA,Chhattisgarh,CHINTAMANI MAHARAJ,Bharatiya Janata Party,713200.0,SHASHI SINGH KORAM,Indian National Congress,648378.0,64822.0
BHIND,Madhya Pradesh,SANDHYA RAY,Bharatiya Janata Party,537065.0,PHOOL SINGH BARAIYA,Indian National Congress,472225.0,64840.0
TONK,Rajasthan,HARISH CHANDRA MEENA,Indian National Congress,623763.0,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,558814.0,64949.0
Pathanamthitta,Kerala,ANTO ANTONY,Indian National Congress,367623.0,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),301504.0,66119.0
Bhiwandi,Maharashtra,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,499464.0,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,433343.0,66121.0
Pratapgarh,Uttar Pradesh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,441932.0,SANGAM LAL GUPTA,Bharatiya Janata Party,375726.0,66206.0
Kendrapara,Odisha,BAIJAYANT PANDA,Bharatiya Janata Party,615705.0,ANSHUMAN MOHANTY,Biju Janata Dal,549169.0,66536.0
Nawada,Bihar,VIVEK THAKUR,Bharatiya Janata Party,410608.0,SHRAWAN KUMAR,Rashtriya Janata Dal,342938.0,67670.0
Raiganj,West Bengal,KARTICK CHANDRA PAUL,Bharatiya Janata Party,560897.0,KALYANI KRISHNA,All India Trinamool Congress,492700.0,68197.0
MIZORAM,Mizoram,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,208552.0,K VANLALVENA,Mizo National Front,140264.0,68288.0
Bagalkot,Karnataka,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,671039.0,SAMYUKTA SHIVANAND PATIL,Indian National Congress,602640.0,68399.0
Kairana,Uttar Pradesh,IQRA CHOUDHARY,Samajwadi Party,528013.0,PRADEEP KUMAR,Bharatiya Janata Party,458897.0,69116.0
Faridkot,Punjab,SARABJEET SINGH KHALSA,Independent,298062.0,KARAMJIT SINGH ANMOL,Aam Aadmi Party,228009.0,70053.0
GWALIOR,Madhya Pradesh,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,671535.0,PRAVEEN PATHAK,Indian National Congress,601325.0,70210.0
Mohanlalganj,Uttar Pradesh,R.K. CHAUDHARY,Samajwadi Party,667869.0,KAUSHAL KISHORE,Bharatiya Janata Party,597577.0,70292.0
SALEM,Tamil Nadu,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,566085.0,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,495728.0,70357.0
Dum dum,West Bengal,SOUGATA RAY,All India Trinamool Congress,528579.0,SILBHADRA DATTA,Bharatiya Janata Party,457919.0,70660.0
VILUPPURAM,Tamil Nadu,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,477033.0,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,406330.0,70703.0
Banda,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406567.0,R. K. SINGH PATEL,Bharatiya Janata Party,335357.0,71210.0
Kolar,Karnataka,M. MALLESH BABU,Janata Dal  (Secular),691481.0,K V GOWTHAM,Indian National Congress,620093.0,71388.0
CHURU,Rajasthan,RAHUL KASWAN,Indian National Congress,728211.0,DEVENDRA JHAJHARIA,Bharatiya Janata Party,655474.0,72737.0
SIKAR,Rajasthan,AMRARAM,Communist Party of India  (Marxist),659300.0,SUMEDHANAND SARASWATI,Bharatiya Janata Party,586404.0,72896.0
Bangaon,West Bengal,SHANTANU THAKUR,Bharatiya Janata Party,719505.0,BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS,All India Trinamool Congress,645812.0,73693.0
Solapur,Maharashtra,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,620225.0,RAM VITTHAL SATPUTE,Bharatiya Janata Party,546028.0,74197.0
Thrissur,Kerala,SURESH GOPI,Bharatiya Janata Party,412338.0,ADV V S SUNILKUMAR,Communist Party of India,337652.0,74686.0
MANDI,Himachal Pradesh,KANGNA RANAUT,Bharatiya Janata Party,537022.0,VIKRAMADITYA SINGH,Indian National Congress,462267.0,74755.0
GURGAON,Haryana,RAO INDERJIT SINGH,Bharatiya Janata Party,808336.0,RAJ BABBAR,Indian National Congress,733257.0,75079.0
Palakkad,Kerala,V K SREEKANDAN,Indian National Congress,421169.0,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),345886.0,75283.0
Alipurduars,West Bengal,MANOJ TIGGA,Bharatiya Janata Party,695314.0,PRAKASH CHIK BARAIK,All India Trinamool Congress,619867.0,75447.0
Rajampet,Andhra Pradesh,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,644844.0,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,568773.0,76071.0
Dhenkanal,Odisha,RUDRA NARAYAN PANY,Bharatiya Janata Party,598721.0,ABINASH SAMAL,Biju Janata Dal,522154.0,76567.0
Shrawasti,Uttar Pradesh,RAM SHIROMANI VERMA,Samajwadi Party,511055.0,SAKET MISRA,Bharatiya Janata Party,434382.0,76673.0
Ramtek,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,613025.0,RAJU DEONATH PARVE,Shiv Sena,536257.0,76768.0
Hooghly,West Bengal,RACHNA BANERJEE,All India Trinamool Congress,702744.0,LOCKET CHATTERJEE,Bharatiya Janata Party,625891.0,76853.0
Bijapur,Karnataka,RAMESH JIGAJINAGI,Bharatiya Janata Party,672781.0,RAJU ALAGUR.,Indian National Congress,595552.0,77229.0
Maldaha Uttar,West Bengal,KHAGEN MURMU,Bharatiya Janata Party,527023.0,PRASUN BANERJEE,All India Trinamool Congress,449315.0,77708.0
Tamluk,West Bengal,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,765584.0,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,687851.0,77733.0
New Delhi,NCT OF Delhi,BANSURI SWARAJ,Bharatiya Janata Party,453185.0,SOMNATH BHARTI,Aam Aadmi Party,374815.0,78370.0
Raichur,Karnataka,G. KUMAR NAIK.,Indian National Congress,670966.0,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,591185.0,79781.0
Sikkim,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,164396.0,BHARAT BASNETT,Citizen Action Party-Sikkim,83566.0,80830.0
Munger,Bihar,RAJIV RANJAN SINGH ALIAS LALAN SINGH,Janata Dal  (United),550146.0,KUMARI ANITA,Rashtriya Janata Dal,469276.0,80870.0
Giridih,Jharkhand,CHANDRA PRAKASH CHOUDHARY,AJSU Party,451139.0,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,370259.0,80880.0
Begusarai,Bihar,GIRIRAJ SINGH,Bharatiya Janata Party,649331.0,ABDHESH KUMAR ROY,Communist Party of India,567851.0,81480.0
Wardha,Maharashtra,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,533106.0,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,451458.0,81648.0
