Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
JODHPUR,Rajasthan,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,730056.0,KARAN SINGH UCHIYARDA,Indian National Congress,614379.0,115677.0
North Goa,Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,257326.0,RAMAKANT KHALAP,Indian National Congress,141311.0,116015.0
Jangipur,West Bengal,KHALILUR RAHAMAN,All India Trinamool Congress,544427.0,MURTOJA HOSSAIN BOKUL,Indian National Congress,427790.0,116637.0
COIMBATORE,Tamil Nadu,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,568200.0,ANNAMALAI K,Bharatiya Janata Party,450132.0,118068.0
BARMER,Rajasthan,UMMEDA RAM BENIWAL,Indian National Congress,704676.0,RAVINDRA SINGH BHATI,Independent,586500.0,118176.0
Sambalpur,Odisha,DHARMENDRA PRADHAN,Bharatiya Janata Party,592162.0,PRANAB PRAKASH DAS,Biju Janata Dal,472326.0,119836.0
Ranchi,Jharkhand,SANJAY SETH,Bharatiya Janata Party,664732.0,YASHASWINI SAHAY,Indian National Congress,544220.0,120512.0
Madha,Maharashtra,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,622213.0,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,501376.0,120837.0
Sambhal,Uttar Pradesh,ZIA UR REHMAN,Samajwadi Party,571161.0,PARMESHWAR LAL SAINI,Bharatiya Janata Party,449667.0,121494.0
Pune,Maharashtra,MURLIDHAR MOHOL,Bharatiya Janata Party,584728.0,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461690.0,123038.0
South Delhi,NCT OF Delhi,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,692832.0,SAHI RAM,Aam Aadmi Party,568499.0,124333.0
UDHAMPUR,Jammu and Kashmir,DR JITENDRA SINGH,Bharatiya Janata Party,571076.0,CH LAL SINGH,Indian National Congress,446703.0,124373.0
Ghazipur,Uttar Pradesh,AFZAL ANSARI,Samajwadi Party,539912.0,PARS NATH RAI,Bharatiya Janata Party,415051.0,124861.0
TIRUPPUR,Tamil Nadu,"SUBBARAYAN, K.",Communist Party of India,472739.0,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,346811.0,125928.0
Gopalganj,Bihar,DR. ALOK KUMAR SUMAN,Janata Dal  (United),511866.0,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,384686.0,127180.0
Maldaha Dakshin,West Bengal,ISHA KHAN CHOUDHURY,Indian National Congress,572395.0,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),Bharatiya Janata Party,444027.0,128368.0
Bidar,Karnataka,SAGAR ESHWAR KHANDRE,Indian National Congress,666317.0,BHAGWANTH KHUBA,Bharatiya Janata Party,537442.0,128875.0
Robertsganj,Uttar Pradesh,CHHOTELAL,Samajwadi Party,465848.0,RINKI SINGH,Apna Dal (Soneylal),336614.0,129234.0
Peddapalle,Telangana,VAMSI KRISHNA GADDAM,Indian National Congress,475587.0,SRINIVAS GOMASE,Bharatiya Janata Party,344223.0,131364.0
Hindupur,Andhra Pradesh,B K PARTHASARATHI,Telugu Desam,725534.0,J SHANTHA,Yuvajana Sramika Rythu Congress Party,593107.0,132427.0
Bolangir,Odisha,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,617744.0,SURENDRA SINGH BHOI,Biju Janata Dal,485080.0,132664.0
Idukki,Kerala,ADV. DEAN KURIAKOSE,Indian National Congress,432372.0,ADV. JOICE GEORGE,Communist Party of India  (Marxist),298645.0,133727.0
Kalahandi,Odisha,MALVIKA DEVI,Bharatiya Janata Party,544303.0,LAMBODAR NIAL,Biju Janata Dal,410490.0,133813.0
Parbhani,Maharashtra,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),601343.0,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,467282.0,134061.0
KHARGONE,Madhya Pradesh,GAJENDRA SINGH PATEL,Bharatiya Janata Party,819863.0,PORLAL BATHA KHARTE,Indian National Congress,684845.0,135018.0
Lucknow,Uttar Pradesh,RAJ NATH SINGH,Bharatiya Janata Party,612709.0,RAVIDAS MEHROTRA,Samajwadi Party,477550.0,135159.0
Junagadh,Gujarat,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,584049.0,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,448555.0,135494.0
JAMMU,Jammu and Kashmir,JUGAL KISHORE,Bharatiya Janata Party,687588.0,RAMAN BHALLA,Indian National Congress,552090.0,135498.0
PUDUCHERRY,Puducherry,VE VAITHILINGAM,Indian National Congress,426005.0,A NAMASSIVAYAM,Bharatiya Janata Party,289489.0,136516.0
Paschim Champaran,Bihar,DR.SANJAY JAISWAL,Bharatiya Janata Party,580421.0,MADAN MOHAN TIWARI,Indian National Congress,443853.0,136568.0
Ambedkar Nagar,Uttar Pradesh,LALJI VERMA,Samajwadi Party,544959.0,RITESH PANDEY,Bharatiya Janata Party,407712.0,137247.0
Nagpur,Maharashtra,NITIN JAIRAM GADKARI,Bharatiya Janata Party,655027.0,VIKAS THAKRE,Indian National Congress,517424.0,137603.0
Bardhaman,West Bengal,AZAD KIRTI JHA,All India Trinamool Congress,720667.0,DILIP GHOSH,Bharatiya Janata Party,582686.0,137981.0
Sundargarh,Odisha,JUAL ORAM,Bharatiya Janata Party,494282.0,DILIP KUMAR TIRKEY,Biju Janata Dal,355474.0,138808.0
Lohardaga,Jharkhand,SUKHDEO BHAGAT,Indian National Congress,483038.0,SAMIR ORAON,Bharatiya Janata Party,343900.0,139138.0
Mysore,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,795503.0,M. LAKSHMANA,Indian National Congress,656241.0,139262.0
Shirur,Maharashtra,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,698692.0,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,557741.0,140951.0
Gadchiroli,Maharashtra,DR. KIRSAN  NAMDEO,Indian National Congress,617792.0,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,476096.0,141696.0
Jahanabad,Bihar,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,443035.0,CHANDESHWAR PRASAD,Janata Dal  (United),300444.0,142591.0
Jorhat,Assam,GAURAV GOGOI,Indian National Congress,751771.0,TOPON KUMAR GOGOI,Bharatiya Janata Party,607378.0,144393.0
MAHASAMUND,Chhattisgarh,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,703659.0,TAMRADHWAJ SAHU,Indian National Congress,558203.0,145456.0
RAJGARH,Madhya Pradesh,RODMAL NAGAR,Bharatiya Janata Party,758743.0,DIGVIJAYA SINGH,Indian National Congress,612654.0,146089.0
Kozhikode,Kerala,M. K. RAGHAVAN,Indian National Congress,520421.0,ELAMARAM KAREEM,Communist Party of India  (Marxist),374245.0,146176.0
Balasore,Odisha,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,563865.0,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,416709.0,147156.0
Diphu,Assam,AMARSING TISSO,Bharatiya Janata Party,334620.0,J. I. KATHAR,Independent,187017.0,147603.0
Koraput,Odisha,SAPTAGIRI SANKAR ULAKA,Indian National Congress,471393.0,KAUSALYA HIKAKA,Biju Janata Dal,323649.0,147744.0
Kaiserganj,Uttar Pradesh,KARAN BHUSHAN SINGH,Bharatiya Janata Party,571263.0,BHAGAT RAM,Samajwadi Party,422420.0,148843.0
Dakshina Kannada,Karnataka,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,764132.0,PADMARAJ.R.POOJARY,Indian National Congress,614924.0,149208.0
Khunti,Jharkhand,KALI CHARAN MUNDA,Indian National Congress,511647.0,ARJUN MUNDA,Bharatiya Janata Party,361972.0,149675.0
Kollam,Kerala,N K PREMACHANDRAN,Revolutionary Socialist Party,443628.0,M MUKESH,Communist Party of India  (Marxist),293326.0,150302.0
Nagina,Uttar Pradesh,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),512552.0,OM KUMAR,Bharatiya Janata Party,361079.0,151473.0
Madhubani,Bihar,ASHOK KUMAR YADAV,Bharatiya Janata Party,553428.0,MD ALI ASHRAF FATMI,Rashtriya Janata Dal,401483.0,151945.0
Varanasi,Uttar Pradesh,NARENDRA MODI,Bharatiya Janata Party,612970.0,AJAY RAI,Indian National Congress,460457.0,152513.0
Patna Sahib,Bihar,RAVI SHANKAR PRASAD,Bharatiya Janata Party,588270.0,ANSHUL AVIJIT,Indian National Congress,434424.0,153846.0
Kolhapur,Maharashtra,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,754522.0,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,599558.0,154964.0
Tura,Meghalaya,SALENG A SANGMA,Indian National Congress,383919.0,AGATHA K SANGMA,National People's Party,228678.0,155241.0
Sabarkantha,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,677318.0,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,521636.0,155682.0
Baramati,Maharashtra,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,732312.0,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,573979.0,158333.0
Nandurbar,Maharashtra,ADV GOWAAL KAGADA PADAVI,Indian National Congress,745998.0,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,586878.0,159120.0
Baghpat,Uttar Pradesh,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,488967.0,AMARPAL,Samajwadi Party,329508.0,159459.0
Narsaraopet,Andhra Pradesh,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,807996.0,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,648267.0,159729.0
Bardhaman Purba,West Bengal,DR. SHARMILA SARKAR,All India Trinamool Congress,720302.0,ASIM KUMAR SARKAR,Bharatiya Janata Party,559730.0,160572.0
Azamgarh,Uttar Pradesh,DHARMENDRA YADAV,Samajwadi Party,508239.0,DINESH LAL YADAV “NIRAHUA”,Bharatiya Janata Party,347204.0,161035.0
Khagaria,Bihar,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),538657.0,SANJAY KUMAR,Communist Party of India  (Marxist),377526.0,161131.0
Nashik,Maharashtra,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729.0,GODSE HEMANT TUKARAM,Shiv Sena,454728.0,162001.0
Ghosi,Uttar Pradesh,RAJEEV RAI,Samajwadi Party,503131.0,DR. ARVIND RAJBHAR,Suheldev Bharatiya Samaj Party,340188.0,162943.0
Chikkballapur,Karnataka,DR.K.SUDHAKAR,Bharatiya Janata Party,822619.0,M.S. RAKSHA RAMAIAH,Indian National Congress,659159.0,163460.0
Garhwal,Uttarakhand,ANIL BALUNI,Bharatiya Janata Party,432159.0,GANESH GODIYAL,Indian National Congress,268656.0,163503.0
Haridwar,Uttarakhand,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,653808.0,VIRENDRA RAWAT,Indian National Congress,489752.0,164056.0
Murshidabad,West Bengal,ABU TAHER KHAN,All India Trinamool Congress,682442.0,MD SALIM,Communist Party of India  (Marxist),518227.0,164215.0
BILASPUR,Chhattisgarh,TOKHAN SAHU,Bharatiya Janata Party,724937.0,DEVENDRA YADAV,Indian National Congress,560379.0,164558.0
Pilibhit,Uttar Pradesh,JITIN PRASADA,Bharatiya Janata Party,607158.0,BHAGWAT SARAN GANGWAR,Samajwadi Party,442223.0,164935.0
Berhampur,Odisha,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,513102.0,BHRUGU BAXIPATRA,Biju Janata Dal,347626.0,165476.0
TIRUNELVELI,Tamil Nadu,ROBERT BRUCE C,Indian National Congress,502296.0,NAINAR NAGENTHRAN,Bharatiya Janata Party,336676.0,165620.0
RAMANATHAPURAM,Tamil Nadu,NAVASKANI K,Indian Union Muslim League,509664.0,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,342882.0,166782.0
KARUR,Tamil Nadu,JOTHIMANI. S,Indian National Congress,534906.0,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,368090.0,166816.0
Amethi,Uttar Pradesh,KISHORI LAL,Indian National Congress,539228.0,SMRITI IRANI,Bharatiya Janata Party,372032.0,167196.0
Singhbhum,Jharkhand,JOBA MAJHI,Jharkhand Mukti Morcha,520164.0,GEETA KORA,Bharatiya Janata Party,351762.0,168402.0
Nalanda,Bihar,KAUSHALENDRA KUMAR,Janata Dal  (United),559422.0,DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),390308.0,169114.0
Howrah,West Bengal,PRASUN BANERJEE,All India Trinamool Congress,626493.0,DR RATHIN CHAKRAVARTY,Bharatiya Janata Party,457051.0,169442.0
Supaul,Bihar,DILESHWAR KAMAIT,Janata Dal  (United),595038.0,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,425235.0,169803.0
Hajipur,Bihar,CHIRAG PASWAN,Lok Janshakti Party(Ram Vilas),615718.0,SHIV CHANDRA RAM,Rashtriya Janata Dal,445613.0,170105.0
Kannauj,Uttar Pradesh,AKHILESH YADAV,Samajwadi Party,642292.0,SUBRAT PATHAK,Bharatiya Janata Party,471370.0,170922.0
Sangrur,Punjab,GURMEET SINGH MEET HAYER,Aam Aadmi Party,364085.0,SUKHPAL SINGH KHAIRA,Indian National Congress,191525.0,172560.0
Chevella,Telangana,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,809882.0,DR GADDAM RANJITH REDDY,Indian National Congress,636985.0,172897.0
FARIDABAD,Haryana,KRISHAN PAL,Bharatiya Janata Party,788569.0,MAHENDER PRATAP SINGH,Indian National Congress,615655.0,172914.0
Jhargram,West Bengal,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,743478.0,DR. PRANAT TUDU,Bharatiya Janata Party,569430.0,174048.0
BALAGHAT,Madhya Pradesh,BHARTI PARDHI,Bharatiya Janata Party,712660.0,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,538148.0,174512.0
Madhepura,Bihar,DINESH CHANDRA YADAV,Janata Dal  (United),640649.0,DA KUMAR CHANDRADEEP,Rashtriya Janata Dal,466115.0,174534.0
Srerampur,West Bengal,KALYAN BANERJEE,All India Trinamool Congress,673970.0,KABIR SHANKAR BOSE,Bharatiya Janata Party,499140.0,174830.0
Tumkur,Karnataka,V. SOMANNA,Bharatiya Janata Party,720946.0,S.P. MUDDAHANUMEGOWDA,Indian National Congress,545352.0,175594.0
Jalandhar,Punjab,CHARANJIT SINGH CHANNI,Indian National Congress,390053.0,SUSHIL KUMAR RINKU,Bharatiya Janata Party,214060.0,175993.0
Darbhanga,Bihar,GOPAL JEE THAKUR,Bharatiya Janata Party,566630.0,LALIT KUMAR YADAV,Rashtriya Janata Dal,388474.0,178156.0
Rajmahal,Jharkhand,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,613371.0,TALA MARANDI,Bharatiya Janata Party,435107.0,178264.0
Belgaum,Karnataka,JAGADISH SHETTAR,Bharatiya Janata Party,762029.0,MRINAL R HEBBALKAR,Indian National Congress,583592.0,178437.0
Darjeeling,West Bengal,RAJU BISTA,Bharatiya Janata Party,679331.0,GOPAL LAMA,All India Trinamool Congress,500806.0,178525.0
KANNIYAKUMARI,Tamil Nadu,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,546248.0,RADHAKRISHNAN P,Bharatiya Janata Party,366341.0,179907.0
Eluru,Andhra Pradesh,PUTTA MAHESH KUMAR,Telugu Desam,746351.0,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,564494.0,181857.0
HAMIRPUR,Himachal Pradesh,ANURAG SINGH THAKUR,Bharatiya Janata Party,607068.0,SATPAL RAIZADA,Indian National Congress,424711.0,182357.0
Ghatal,West Bengal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,837990.0,DR. HIRANMOY CHATTOPADHYAYA,Bharatiya Janata Party,655122.0,182868.0
Palghar,Maharashtra,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244.0,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),417938.0,183306.0
Jhanjharpur,Bihar,RAMPRIT MANDAL,Janata Dal  (United),533032.0,SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,348863.0,184169.0
CUDDALORE,Tamil Nadu,M.K. VISHNUPRASAD,Indian National Congress,455053.0,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,269157.0,185896.0
Ranaghat,West Bengal,JAGANNATH SARKAR,Bharatiya Janata Party,782396.0,MUKUT MANI ADHIKARI,All India Trinamool Congress,595497.0,186899.0
Kolkata Dakshin,West Bengal,MALA ROY,All India Trinamool Congress,615274.0,DEBASREE CHAUDHURI,Bharatiya Janata Party,428043.0,187231.0
Samastipur,Bihar,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),579786.0,SUNNY HAZARI,Indian National Congress,392535.0,187251.0
SRINAGAR,Jammu and Kashmir,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,356866.0,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,168450.0,188416.0
Ananthapur,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,768245.0,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,579690.0,188555.0
Chamarajanagar,Karnataka,SUNIL BOSE,Indian National Congress,751671.0,BALARAJ.S,Bharatiya Janata Party,562965.0,188706.0
KRISHNAGIRI,Tamil Nadu,GOPINATH K,Indian National Congress,492883.0,JAYAPRAKASH V,All India Anna Dravida Munnetra Kazhagam,300397.0,192486.0
REWA,Madhya Pradesh,JANARDAN MISHRA,Bharatiya Janata Party,477459.0,NEELAM ABHAY MISHRA,Indian National Congress,284085.0,193374.0
TENKASI,Tamil Nadu,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,425679.0,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,229480.0,196199.0
Khadoor Sahib,Punjab,AMRITPAL SINGH,Independent,404430.0,KULBIR SINGH ZIRA,Indian National Congress,207310.0,197120.0
Birbhum,West Bengal,SATABDI ROY,All India Trinamool Congress,717961.0,DEBTANU BHATTACHARYA,Bharatiya Janata Party,520311.0,197650.0
West Delhi,NCT OF Delhi,KAMALJEET SEHRAWAT,Bharatiya Janata Party,842658.0,MAHABAL MISHRA,Aam Aadmi Party,643645.0,199013.0
Mathurapur,West Bengal,BAPI HALDAR,All India Trinamool Congress,755731.0,ASHOK PURKAIT,Bharatiya Janata Party,554674.0,201057.0
Lakhimpur,Assam,PRADAN BARUAH,Bharatiya Janata Party,663122.0,UDAY SHANKAR HAZARIKA,Indian National Congress,461865.0,201257.0
JALORE,Rajasthan,LUMBARAM,Bharatiya Janata Party,796783.0,VAIBHAV GEHLOT,Indian National Congress,595240.0,201543.0
BARAMULLA,Jammu and Kashmir,ABDUL RASHID SHEIKH,Independent,472481.0,OMAR ABDULLAH,Jammu & Kashmir National Conference,268339.0,204142.0
SIVAGANGA,Tamil Nadu,KARTI P CHIDAMBARAM,Indian National Congress,427677.0,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,222013.0,205664.0
SIDHI,Madhya Pradesh,DR. RAJESH MISHRA,Bharatiya Janata Party,583559.0,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,377143.0,206416.0
RATLAM,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,795863.0,KANTILAL BHURIA,Indian National Congress,588631.0,207232.0
Bapatla,Andhra Pradesh,KRISHNA PRASAD TENNETI,Telugu Desam,717493.0,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,509462.0,208031.0
ARANI,Tamil Nadu,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,500099.0,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,291333.0,208766.0
NAGAPATTINAM,Tamil Nadu,SELVARAJ V,Communist Party of India,465044.0,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,256087.0,208957.0
Kalyan,Maharashtra,DR SHRIKANT EKNATH SHINDE,Shiv Sena,589636.0,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),380492.0,209144.0
MADURAI,Tamil Nadu,VENKATESAN S,Communist Party of India  (Marxist),430323.0,RAAMA SREENIVASAN,Bharatiya Janata Party,220914.0,209409.0
Valsad,Gujarat,DHAVAL LAXMANBHAI  PATEL,Bharatiya Janata Party,764226.0,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,553522.0,210704.0
Nagaon,Assam,PRADYUT BORDOLOI,Indian National Congress,788850.0,SURESH BORAH,Bharatiya Janata Party,576619.0,212231.0
VELLORE,Tamil Nadu,DM KATHIR ANAND,Dravida Munnetra Kazhagam,568692.0,AC SHANMUGAM,Bharatiya Janata Party,352990.0,215702.0
Barabanki,Uttar Pradesh,TANUJ PUNIA,Indian National Congress,719927.0,RAJRANI RAWAT,Bharatiya Janata Party,504223.0,215704.0
Thane,Maharashtra,NARESH GANPAT MHASKE,Shiv Sena,734231.0,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),517220.0,217011.0
DHAR,Madhya Pradesh,SAVITRI THAKUR,Bharatiya Janata Party,794449.0,RADHESHYAM MUVEL,Indian National Congress,575784.0,218665.0
Uluberia,West Bengal,SAJDA AHMED,All India Trinamool Congress,724622.0,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,505949.0,218673.0
Mayurbhanj,Odisha,NABA CHARAN MAJHI,Bharatiya Janata Party,585971.0,SUDAM MARNDI,Biju Janata Dal,366637.0,219334.0
Warangal,Telangana,KADIYAM KAVYA,Indian National Congress,581294.0,AROORI RAMESH,Bharatiya Janata Party,360955.0,220339.0
Chittoor,Andhra Pradesh,DAGGUMALLA PRASADA RAO,Telugu Desam,778071.0,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,557592.0,220479.0
Chatra,Jharkhand,KALI CHARAN SINGH,Bharatiya Janata Party,574556.0,KRISHNA NAND TRIPATHI,Indian National Congress,353597.0,220959.0
KANCHEEPURAM,Tamil Nadu,SELVAM. G,Dravida Munnetra Kazhagam,586044.0,RAJASEKAR. E,All India Anna Dravida Munnetra Kazhagam,364571.0,221473.0
Mainpuri,Uttar Pradesh,DIMPLE YADAV,Samajwadi Party,598526.0,JAYVEER SINGH,Bharatiya Janata Party,376887.0,221639.0
Bhongir,Telangana,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,629143.0,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,406973.0,222170.0
Barpeta,Assam,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113.0,DEEP BAYAN,Indian National Congress,637762.0,222351.0
Machilipatnam,Andhra Pradesh,BALASHOWRY VALLABHANENI,Janasena Party,724439.0,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260.0,223179.0
Karimnagar,Telangana,BANDI SANJAY KUMAR,Bharatiya Janata Party,585116.0,VELCHALA RAJENDER RAO,Indian National Congress,359907.0,225209.0
CHENNAI SOUTH,Tamil Nadu,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,516628.0,DR.TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,290683.0,225945.0
Kakinada,Andhra Pradesh,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),Janasena Party,729699.0,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,500208.0,229491.0
Bardoli,Gujarat,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,763950.0,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,533697.0,230253.0
KARNAL,Haryana,MANOHAR LAL,Bharatiya Janata Party,739285.0,DIVYANSHU BUDHIRAJA,Indian National Congress,506708.0,232577.0
TIRUVANNAMALAI,Tamil Nadu,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379.0,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,313448.0,233931.0
Almora,Uttarakhand,AJAY TAMTA,Bharatiya Janata Party,429167.0,PRADEEP TAMTA,Indian National Congress,195070.0,234097.0
Muzaffarpur,Bihar,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,619749.0,AJAY NISHAD,Indian National Congress,384822.0,234927.0
Ponnani,Kerala,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,562516.0,K.S HAMZA,Communist Party of India  (Marxist),326756.0,235760.0
ERODE,Tamil Nadu,K E PRAKASH,Dravida Munnetra Kazhagam,562339.0,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,325773.0,236566.0
DAUSA,Rajasthan,MURARI LAL MEENA,Indian National Congress,646266.0,KANHAIYA LAL MEENA,Bharatiya Janata Party,408926.0,237340.0
Jamnagar,Gujarat,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,620049.0,ADVOCATE J. P. MARAVIYA,Indian National Congress,382041.0,238008.0
Rajahmundry,Andhra Pradesh,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,726515.0,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,487376.0,239139.0
RAIGARH,Chhattisgarh,RADHESHYAM RATHIYA,Bharatiya Janata Party,808275.0,DR. MENKA DEVI SINGH,Indian National Congress,567884.0,240391.0
NILGIRIS,Tamil Nadu,RAJA A,Dravida Munnetra Kazhagam,473212.0,DR MURUGAN L,Bharatiya Janata Party,232627.0,240585.0
Shimoga,Karnataka,B.Y.RAGHAVENDRA,Bharatiya Janata Party,778721.0,GEETHA SHIVARAJKUMAR,Indian National Congress,535006.0,243715.0
CHENNAI CENTRAL,Tamil Nadu,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,413848.0,VINOJ,Bharatiya Janata Party,169159.0,244689.0
PALI,Rajasthan,P. P. CHAUDHARY,Bharatiya Janata Party,757389.0,SANGEETA BENIWAL,Indian National Congress,512038.0,245351.0
Nellore,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202.0,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,520300.0,245902.0
BANSWARA,Rajasthan,RAJ KUMAR ROAT,Bharat Adivasi Party,820831.0,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,573777.0,247054.0
Hathras,Uttar Pradesh,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,554746.0,JASVEER VALMIKI,Samajwadi Party,307428.0,247318.0
Kaziranga,Assam,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,897043.0,ROSELINA TIRKEY,Indian National Congress,648096.0,248947.0
Vizianagaram,Andhra Pradesh,APPALANAIDU KALISETTI,Telugu Desam,743113.0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,493762.0,249351.0
Ernakulam,Kerala,HIBI EDEN,Indian National Congress,482317.0,K. J. SHINE TEACHER,Communist Party of India  (Marxist),231932.0,250385.0
Guwahati,Assam,BIJULI KALITA  MEDHI,Bharatiya Janata Party,894887.0,MIRA BORTHAKUR GOSWAMI,Indian National Congress,643797.0,251090.0
Jalgaon,Maharashtra,SMITA UDAY WAGH,Bharatiya Janata Party,674428.0,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),422834.0,251594.0
