Constituency,State,Winner,Party,"CAST(""Total Votes"" AS INTEGER)","CAST(""% of Votes"" AS FLOAT)"
Jalandhar,Punjab,CHARANJIT SINGH CHANNI,Indian National Congress,390053,39.43
KHAJURAHO,Madhya Pradesh,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,772774,67.75
Keonjhar,Odisha,ANANTA NAYAK,Bharatiya Janata Party,573923,45.67
Maval,Maharashtra,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692832,48.81
Misrikh,Uttar Pradesh,ASHOK KUMAR RAWAT,Bharatiya Janata Party,475016,45.15
Nalgonda,Telangana,KUNDURU RAGHUVEER,Indian National Congress,784337,60.5
Nandurbar,Maharashtra,ADV GOWAAL KAGADA PADAVI,Indian National Congress,745998,53.53
Pratapgarh,Uttar Pradesh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,441932,46.65
Pune,Maharashtra,MURLIDHAR MOHOL,Bharatiya Janata Party,584728,52.94
RAIPUR,Chhattisgarh,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,1050351,66.19
Raichur,Karnataka,G. KUMAR NAIK.,Indian National Congress,670966,51.63
Ratnagiri,Maharashtra,NARAYAN TATU RANE,Bharatiya Janata Party,448514,49.07
Robertsganj,Uttar Pradesh,CHHOTELAL,Samajwadi Party,465848,46.14
SIKAR,Rajasthan,AMRARAM,Communist Party of India  (Marxist),659300,50.68
SONIPAT,Haryana,SATPAL BRAHAMCHARI,Indian National Congress,548682,48.82
Shimoga,Karnataka,B.Y.RAGHAVENDRA,Bharatiya Janata Party,778721,56.54
Shrawasti,Uttar Pradesh,RAM SHIROMANI VERMA,Samajwadi Party,511055,48.83
Surendranagar,Gujarat,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,669749,59.2
THOOTHUKKUDI,Tamil Nadu,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,540729,55.26
TIRUVANNAMALAI,Tamil Nadu,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379,47.75
Unnao,Uttar Pradesh,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,616133,47.31
Yavatmal,Maharashtra,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),594807,48.53
