Constituency,State,Winner,Party,"CAST(""Total Votes"" AS INTEGER)","CAST(""% of Votes"" AS FLOAT)"
MORENA,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,515477,43.41
Madhepura,Bihar,DINESH CHANDRA YADAV,Janata Dal  (United),640649,52.96
Mahesana,Gujarat,HARIBHAI PATEL,Bharatiya Janata Party,686406,63.74
Malappuram,Kerala,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,644006,59.35
Mumbai North Central,Maharashtra,GAIKWAD VARSHA EKNATH,Indian National Congress,445545,48.93
Mysore,Karnataka,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,795503,53.59
Nagpur,Maharashtra,NITIN JAIRAM GADKARI,Bharatiya Janata Party,655027,54.08
North,NCT OF Delhi,YOGENDER CHANDOLIYA,Bharatiya Janata Party,866483,58.26
North Goa,Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,257326,56.43
Phulpur,Uttar Pradesh,PRAVEEN PATEL,Bharatiya Janata Party,452600,44.6
Puri,Odisha,SAMBIT PATRA,Bharatiya Janata Party,629330,52.58
Sikkim,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,164396,42.71
Singhbhum,Jharkhand,JOBA MAJHI,Jharkhand Mukti Morcha,520164,51.62
Sundargarh,Odisha,JUAL ORAM,Bharatiya Janata Party,494282,42.77
Thane,Maharashtra,NARESH GANPAT MHASKE,Shiv Sena,734231,56.09
Zahirabad,Telangana,SURESH KUMAR SHETKAR,Indian National Congress,528418,42.73
BHARATPUR,Rajasthan,SANJNA JATAV,Indian National Congress,579890,51.18
Baharaich,Uttar Pradesh,ANAND KUMAR,Bharatiya Janata Party,518802,49.1
Bangalore South,Karnataka,TEJASVI SURYA,Bharatiya Janata Party,750830,60.1
Bangalore central,Karnataka,P C MOHAN,Bharatiya Janata Party,658915,50.05
Bidar,Karnataka,SAGAR ESHWAR KHANDRE,Indian National Congress,666317,53.63
CHITTORGARH,Rajasthan,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,888202,59.26
Chandigarh,Chandigarh,MANISH TEWARI,Indian National Congress,216657,48.22
Chatra,Jharkhand,KALI CHARAN SINGH,Bharatiya Janata Party,574556,52.89
Dhenkanal,Odisha,RUDRA NARAYAN PANY,Bharatiya Janata Party,598721,50.24
Faizabad,Uttar Pradesh,AWADHESH PRASAD,Samajwadi Party,554289,48.59
Fatehpur Sikri,Uttar Pradesh,RAJKUMAR CHAHAR,Bharatiya Janata Party,445657,43.09
GUNA,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,923302,67.21
Hamirpur,Uttar Pradesh,AJENDRA SINGH LODHI,Samajwadi Party,490683,44.0
Howrah,West Bengal,PRASUN BANERJEE,All India Trinamool Congress,626493,49.26
