Candidate,Party,Votes,State,Constituency
DINESH TANWAR,Independent,171,NCT OF Delhi,CHHATARPUR
ARCHANA YADAV,Shivsena,98,NCT OF Delhi,CHHATARPUR
None of the Above,None of the Above,547,NCT OF Delhi,CHHATARPUR
PRAKASH,Aam Aadmi Party,96530,NCT OF Delhi,DEOLI
ARVIND KUMAR,Bharatiya Janata Party,32593,NCT OF Delhi,DEOLI
RAJESH CHAUHAN,Indian National Congress,4968,NCT OF Delhi,DEOLI
DALCHAND KAPIL,Bahujan Samaj Party,1569,NCT OF Delhi,DEOLI
PADMA RANI,Hind Congress Party,318,NCT OF Delhi,DEOLI
SIYARAM RAJORA,Samras Samaj Party,223,NCT OF Delhi,DEOLI
None of the Above,None of the Above,502,NCT OF Delhi,DEOLI
AJAY DUTT,Aam Aadmi Party,66632,NCT OF Delhi,AMBEDKAR NAGAR
ASHOK KUMAR,Bharatiya Janata Party,24172,NCT OF Delhi,AMBEDKAR NAGAR
CH. PREM SINGH,Indian National Congress,5336,NCT OF Delhi,AMBEDKAR NAGAR
RAJBIR,Bahujan Samaj Party,815,NCT OF Delhi,AMBEDKAR NAGAR
None of the Above,None of the Above,481,NCT OF Delhi,AMBEDKAR NAGAR
DINESH MOHANIYA,Aam Aadmi Party,72131,NCT OF Delhi,SANGAM VIHAR
SHIV CHARAN LAL GUPTA,Bharatiya Janata Party,28143,NCT OF Delhi,SANGAM VIHAR
VISHAN SWAROOP AGGARWAL,Indian National Congress,3423,NCT OF Delhi,SANGAM VIHAR
SHISH PAL SINGH,Bahujan Samaj Party,3146,NCT OF Delhi,SANGAM VIHAR
SHAHID,Independent,503,NCT OF Delhi,SANGAM VIHAR
DINESH PRASAD JAISWAL,Samras Samaj Party,323,NCT OF Delhi,SANGAM VIHAR
SANDEEP KUMAR,Independent,287,NCT OF Delhi,SANGAM VIHAR
SUKHVIR SINGH,Independent,241,NCT OF Delhi,SANGAM VIHAR
PRADEEP CHAND,Sathi Aur Aapka Faisala Party,179,NCT OF Delhi,SANGAM VIHAR
RAMAWATI,Independent,146,NCT OF Delhi,SANGAM VIHAR
PRAWEEN PRAKASH BHARDWAJ,Purvanchal Mahapanchayat,113,NCT OF Delhi,SANGAM VIHAR
PRADEEP,Hind Congress Party,90,NCT OF Delhi,SANGAM VIHAR
NAZUKAR KHAN,Independent,70,NCT OF Delhi,SANGAM VIHAR
PRADEEP KUMAR,Rashtriya Bahujan Congress Party,60,NCT OF Delhi,SANGAM VIHAR
RAMAASARE YADAV,Naya Daur Party,36,NCT OF Delhi,SANGAM VIHAR
None of the Above,None of the Above,467,NCT OF Delhi,SANGAM VIHAR
AJESH YADAV,Aam Aadmi Party,72795,NCT OF Delhi,BADLI
DEVENDER YADAV,Indian National Congress,37419,NCT OF Delhi,BADLI
RAJESH YADAV,Bharatiya Janata Party,28238,NCT OF Delhi,BADLI
RAKESH KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),947,NCT OF Delhi,BADLI
ANAND PRAKASH RANA,Independent,729,NCT OF Delhi,BADLI
DR. MD. JAWED HABIB,Bahujan Samaj Party,685,NCT OF Delhi,BADLI
JAI PAL,Independent,293,NCT OF Delhi,BADLI
HARI OM,Independent,202,NCT OF Delhi,BADLI
ANIL SHARMA,Nationalist Congress Party,169,NCT OF Delhi,BADLI
DEVENDER YADAV,Independent,160,NCT OF Delhi,BADLI
None of the Above,None of the Above,713,NCT OF Delhi,BADLI
SAURABH BHARADWAJ,Aam Aadmi Party,57589,NCT OF Delhi,GREATER KAILASH
RAKESH KUMAR GULLAIYA,Bharatiya Janata Party,43006,NCT OF Delhi,GREATER KAILASH
SHARMISTHA MUKHERJEE,Indian National Congress,6102,NCT OF Delhi,GREATER KAILASH
ADITYA,Bahujan Samaj Party,239,NCT OF Delhi,GREATER KAILASH
ASHOK KUMAR,Samaj Parivartan Party,238,NCT OF Delhi,GREATER KAILASH
SANJAY KHATRI,Independent,228,NCT OF Delhi,GREATER KAILASH
ROHIT TYAGI,Nationalist Congress Party,116,NCT OF Delhi,GREATER KAILASH
ASHOK KUMAR SHARMA,Shivsena,76,NCT OF Delhi,GREATER KAILASH
None of the Above,None of the Above,443,NCT OF Delhi,GREATER KAILASH
AVTAR SINGH KALKAJI,Aam Aadmi Party,55104,NCT OF Delhi,KALKAJI
HARMEET SINGH KALKA,Bharatiya Janata Party,35335,NCT OF Delhi,KALKAJI
SUBHASH CHOPRA,Indian National Congress,13552,NCT OF Delhi,KALKAJI
AVTAR SINGH,Independent,666,NCT OF Delhi,KALKAJI
SHASHI PRATAP,Bahujan Samaj Party,491,NCT OF Delhi,KALKAJI
SANJAY AGARWAL,Independent,301,NCT OF Delhi,KALKAJI
R. SINGH CHOUDHARY,Independent,205,NCT OF Delhi,KALKAJI
DR. ANIL KUMAR,Samras Samaj Party,181,NCT OF Delhi,KALKAJI
GURDEEP SINGH,Independent,118,NCT OF Delhi,KALKAJI
DR. KAILASH SHANKER TRIVEDI,Independent,63,NCT OF Delhi,KALKAJI
None of the Above,None of the Above,528,NCT OF Delhi,KALKAJI
SAHI RAM,Aam Aadmi Party,64311,NCT OF Delhi,TUGHLAKABAD
VIKRAM BIDHURI,Bharatiya Janata Party,30610,NCT OF Delhi,TUGHLAKABAD
SACHIN,Indian National Congress,4269,NCT OF Delhi,TUGHLAKABAD
GIRRAJ SINGH,Bahujan Samaj Party,2015,NCT OF Delhi,TUGHLAKABAD
MANOJ KUMAR RAY,Independent,549,NCT OF Delhi,TUGHLAKABAD
ABDUL BASIT,Rashtriya Janata Dal,236,NCT OF Delhi,TUGHLAKABAD
SACHIN KUMAR,Independent,223,NCT OF Delhi,TUGHLAKABAD
SHALINI,Rashtriya Bahujan Congress Party,177,NCT OF Delhi,TUGHLAKABAD
TEJPAL SINGH,Independent,173,NCT OF Delhi,TUGHLAKABAD
REKHA SINGH,Independent,111,NCT OF Delhi,TUGHLAKABAD
None of the Above,None of the Above,383,NCT OF Delhi,TUGHLAKABAD
NARAYAN DUTT SHARMA,Aam Aadmi Party,94242,NCT OF Delhi,BADARPUR
RAMVIR SINGH BIDHURI,Bharatiya Janata Party,46659,NCT OF Delhi,BADARPUR
RAM SINGH NETAJI,Indian National Congress,18930,NCT OF Delhi,BADARPUR
NAR SINGH SHAH,Bahujan Samaj Party,8082,NCT OF Delhi,BADARPUR
PRAKASH SINGH RAWAT,Independent,1088,NCT OF Delhi,BADARPUR
PHUL KUMAR JHA,Samras Samaj Party,350,NCT OF Delhi,BADARPUR
PRAMOD KUMAR,Independent,267,NCT OF Delhi,BADARPUR
OM PRAKASH GUPTA,Independent,221,NCT OF Delhi,BADARPUR
None of the Above,None of the Above,562,NCT OF Delhi,BADARPUR
AMANATULLAH KHAN,Aam Aadmi Party,104271,NCT OF Delhi,OKHLA
BRAHAM SINGH,Bharatiya Janata Party,39739,NCT OF Delhi,OKHLA
ASIF MOHD. KHAN,Indian National Congress,20135,NCT OF Delhi,OKHLA
ANZARUL HAQUE,Indian National League,853,NCT OF Delhi,OKHLA
ASHRAF KAMAL,Bahujan Samaj Party,696,NCT OF Delhi,OKHLA
MOHD. ASLAM,Independent,153,NCT OF Delhi,OKHLA
BURHANUDDIN,Independent,102,NCT OF Delhi,OKHLA
HUMA KAUSAR,Independent,98,NCT OF Delhi,OKHLA
MOHD. NIZAMUDDIN,Samras Samaj Party,92,NCT OF Delhi,OKHLA
None of the Above,None of the Above,519,NCT OF Delhi,OKHLA
RAJU DHINGAN,Aam Aadmi Party,74907,NCT OF Delhi,TRILOKPURI
KIRAN VAIDYA,Bharatiya Janata Party,45153,NCT OF Delhi,TRILOKPURI
BRAHM PAL,Indian National Congress,4149,NCT OF Delhi,TRILOKPURI
DR.GIRISH,Bahujan Samaj Party,2217,NCT OF Delhi,TRILOKPURI
KHUBI RAM,Communist Party of India,380,NCT OF Delhi,TRILOKPURI
PADAM CHAND,Bahujan Mukti Party,271,NCT OF Delhi,TRILOKPURI
RAKESH,Gareeb Aadmi Party,134,NCT OF Delhi,TRILOKPURI
MAHINDER SINGH,Samras Samaj Party,100,NCT OF Delhi,TRILOKPURI
None of the Above,None of the Above,467,NCT OF Delhi,TRILOKPURI
MANOJ KUMAR,Aam Aadmi Party,63185,NCT OF Delhi,KONDLI
HUKAM SINGH,Bharatiya Janata Party,38426,NCT OF Delhi,KONDLI
AMRISH SINGH GAUTAM,Indian National Congress,13562,NCT OF Delhi,KONDLI
CHAMAN KUMAR,Bahujan Samaj Party,8533,NCT OF Delhi,KONDLI
MALA DEVI,Communist Party of India  (Marxist-Leninist)  (Liberation),230,NCT OF Delhi,KONDLI
RAKESH,Independent,193,NCT OF Delhi,KONDLI
SUNIL BABU,Independent,132,NCT OF Delhi,KONDLI
None of the Above,None of the Above,458,NCT OF Delhi,KONDLI
MANISH SISODIA,Aam Aadmi Party,75477,NCT OF Delhi,PATPARGANJ
VINOD KUMAR BINNY,Bharatiya Janata Party,46716,NCT OF Delhi,PATPARGANJ
ANIL KUMAR,Indian National Congress,16260,NCT OF Delhi,PATPARGANJ
NEM SINGH PREMI,Bahujan Samaj Party,1213,NCT OF Delhi,PATPARGANJ
CHHAVI PRAKASH GUPTA,Shivsena,294,NCT OF Delhi,PATPARGANJ
MAHESH PRAKASH,Samras Samaj Party,284,NCT OF Delhi,PATPARGANJ
BHUPENDRA KUMAR RAI,Independent,98,NCT OF Delhi,PATPARGANJ
None of the Above,None of the Above,533,NCT OF Delhi,PATPARGANJ
NITIN TYAGI,Aam Aadmi Party,58229,NCT OF Delhi,LAXMI NAGAR
B. B. TYAGI,Bharatiya Janata Party,53383,NCT OF Delhi,LAXMI NAGAR
DR. ASHOK KUMAR WALIA,Indian National Congress,23627,NCT OF Delhi,LAXMI NAGAR
KAVITA NARAIN,Bahujan Samaj Party,687,NCT OF Delhi,LAXMI NAGAR
VIMAL KUMAR SAXENA,Independent,270,NCT OF Delhi,LAXMI NAGAR
SARVENDRA SINGH PAL,Nationalist Congress Party,165,NCT OF Delhi,LAXMI NAGAR
ZAHEER ABBASI,Republican Party of India,68,NCT OF Delhi,LAXMI NAGAR
None of the Above,None of the Above,420,NCT OF Delhi,LAXMI NAGAR
OM PRAKASH SHARMA,Bharatiya Janata Party,58124,NCT OF Delhi,VISHWAS NAGAR
DR. ATUL GUPTA,Aam Aadmi Party,47966,NCT OF Delhi,VISHWAS NAGAR
NASEEB SINGH,Indian National Congress,20634,NCT OF Delhi,VISHWAS NAGAR
GIRISH CHOUDHARY,Bahujan Samaj Party,854,NCT OF Delhi,VISHWAS NAGAR
JAGDISH,Garib Raj Party,270,NCT OF Delhi,VISHWAS NAGAR
SHOKAT ALI,Hind Congress Party,140,NCT OF Delhi,VISHWAS NAGAR
VIJAY KUMAR JHA,Samras Samaj Party,138,NCT OF Delhi,VISHWAS NAGAR
PRAVEEN KUMAR BHARAT,Bhartiya Jan Manch,95,NCT OF Delhi,VISHWAS NAGAR
None of the Above,None of the Above,499,NCT OF Delhi,VISHWAS NAGAR
MOHINDER GOYAL,Aam Aadmi Party,93470,NCT OF Delhi,RITHALA
KULWANT RANA,Bharatiya Janata Party,64219,NCT OF Delhi,RITHALA
JAGDISH YADAV,Indian National Congress,5367,NCT OF Delhi,RITHALA
PAWAN KAUSHIK,Bahujan Samaj Party,542,NCT OF Delhi,RITHALA
ANURAG MISHRA,Rashtriya Bahujan Hitay Party,266,NCT OF Delhi,RITHALA
SUMEET KUMAR SINHA,Samras Samaj Party,156,NCT OF Delhi,RITHALA
SUNJEET,Delhi Janta Party,127,NCT OF Delhi,RITHALA
VIRENDER JHA,"Proutist Bloc, India",126,NCT OF Delhi,RITHALA
JITENDER SINGH,Asankhya Samaj Party,88,NCT OF Delhi,RITHALA
None of the Above,None of the Above,705,NCT OF Delhi,RITHALA
S K BAGGA  ADVOCATE,Aam Aadmi Party,65919,NCT OF Delhi,KRISHNA NAGAR
KIRAN BEDI,Bharatiya Janata Party,63642,NCT OF Delhi,KRISHNA NAGAR
BANSI LAL,Indian National Congress,6189,NCT OF Delhi,KRISHNA NAGAR
YOGESH KUMAR,Bahujan Samaj Party,501,NCT OF Delhi,KRISHNA NAGAR
CHANDAN LAL PREMI,Communist Party of India,339,NCT OF Delhi,KRISHNA NAGAR
PURNIMA JOHN,Samyak Parivartan Party,169,NCT OF Delhi,KRISHNA NAGAR
VIRENDR PRADHAN,Independent,90,NCT OF Delhi,KRISHNA NAGAR
SAHRUR,Hind Congress Party,73,NCT OF Delhi,KRISHNA NAGAR
ADVOCATE MANJEET SINGH,Independent,53,NCT OF Delhi,KRISHNA NAGAR
JAGBIR SINGH,Rajlok Party,32,NCT OF Delhi,KRISHNA NAGAR
None of the Above,None of the Above,358,NCT OF Delhi,KRISHNA NAGAR
ANIL KUMAR BAJPAI,Aam Aadmi Party,50946,NCT OF Delhi,GANDHI NAGAR
JITENDER,Bharatiya Janata Party,43464,NCT OF Delhi,GANDHI NAGAR
SURENDER PRAKASH SHARMA,Indian National Congress,16228,NCT OF Delhi,GANDHI NAGAR
MD. HAROON,Independent,660,NCT OF Delhi,GANDHI NAGAR
DHARMENDR KUMAR,Bahujan Samaj Party,456,NCT OF Delhi,GANDHI NAGAR
VIJAY SINGH,Shivsena,165,NCT OF Delhi,GANDHI NAGAR
SHAINA,Independent,80,NCT OF Delhi,GANDHI NAGAR
JABBAR ALI,Independent,65,NCT OF Delhi,GANDHI NAGAR
RAJESH KUMAR,Independent,47,NCT OF Delhi,GANDHI NAGAR
None of the Above,None of the Above,492,NCT OF Delhi,GANDHI NAGAR
RAM NIWAS GOEL,Aam Aadmi Party,58523,NCT OF Delhi,SHAHDARA
JITENDER SINGH SHUNTY,Bharatiya Janata Party,46792,NCT OF Delhi,SHAHDARA
NARENDER NATH,Indian National Congress,9423,NCT OF Delhi,SHAHDARA
BEHEN PREETI,Independent,1289,NCT OF Delhi,SHAHDARA
RAJPAL SINGH,Bahujan Samaj Party,1276,NCT OF Delhi,SHAHDARA
HARPAL SINGH KUNDALIYA,Garib Raj Party,235,NCT OF Delhi,SHAHDARA
MANISH GUPTA,Independent,167,NCT OF Delhi,SHAHDARA
PREETI,Independent,86,NCT OF Delhi,SHAHDARA
PREETI,Independent,56,NCT OF Delhi,SHAHDARA
ACHAL SHARMA,Independent,41,NCT OF Delhi,SHAHDARA
None of the Above,None of the Above,368,NCT OF Delhi,SHAHDARA
RAJENDRA PAL GAUTAM,Aam Aadmi Party,79777,NCT OF Delhi,SEEMA PURI
KARAMVIR,Bharatiya Janata Party,30956,NCT OF Delhi,SEEMA PURI
VEER SINGH DHINGAN,Indian National Congress,10674,NCT OF Delhi,SEEMA PURI
JAI SHREE,Bahujan Samaj Party,4103,NCT OF Delhi,SEEMA PURI
AARTI,Garib Raj Party,304,NCT OF Delhi,SEEMA PURI
RAVINDER KUMAR,Independent,228,NCT OF Delhi,SEEMA PURI
None of the Above,None of the Above,499,NCT OF Delhi,SEEMA PURI
SARITA SINGH,Aam Aadmi Party,62209,NCT OF Delhi,ROHTAS NAGAR
JITENDER MAHAJAN,Bharatiya Janata Party,54335,NCT OF Delhi,ROHTAS NAGAR
VIPIN SHARMA,Indian National Congress,15548,NCT OF Delhi,ROHTAS NAGAR
PRAVEEN BANSAL,Bahujan Samaj Party,2115,NCT OF Delhi,ROHTAS NAGAR
ATUL KUMAR,Garib Raj Party,243,NCT OF Delhi,ROHTAS NAGAR
RAISUDDIN,Independent,191,NCT OF Delhi,ROHTAS NAGAR
PAWAN KUMAR,Jammu & Kashmir National Panthers Party,87,NCT OF Delhi,ROHTAS NAGAR
RAJENDRA KUMAR,Rashtriya Bahujan Congress Party,85,NCT OF Delhi,ROHTAS NAGAR
NARESH KUMAR,Independent,67,NCT OF Delhi,ROHTAS NAGAR
RAJEEV SOHI,Shivsena,65,NCT OF Delhi,ROHTAS NAGAR
None of the Above,None of the Above,409,NCT OF Delhi,ROHTAS NAGAR
MOHD. ISHRAQUE,Aam Aadmi Party,57302,NCT OF Delhi,SEELAMPUR
SANJAY JAIN,Bharatiya Janata Party,29415,NCT OF Delhi,SEELAMPUR
CHAUDHARY MATEEN AHMAD,Indian National Congress,23791,NCT OF Delhi,SEELAMPUR
SANDEEP CHODHARY,Bahujan Samaj Party,629,NCT OF Delhi,SEELAMPUR
MANOJ KUMAR,Independent,146,NCT OF Delhi,SEELAMPUR
SARFARAJ,Independent,114,NCT OF Delhi,SEELAMPUR
AKBAR MALIK,Independent,71,NCT OF Delhi,SEELAMPUR
None of the Above,None of the Above,329,NCT OF Delhi,SEELAMPUR
SHRI DUTT SHARMA,Aam Aadmi Party,60906,NCT OF Delhi,GHONDA
SAHAB SINGH CHAUHAN,Bharatiya Janata Party,52813,NCT OF Delhi,GHONDA
BHISHAM SHARMA,Indian National Congress,18892,NCT OF Delhi,GHONDA
RANJEET SINGH CHAUDHARY,Bahujan Samaj Party,1314,NCT OF Delhi,GHONDA
ALTAF HUSAIN,Janata Dal  (United),770,NCT OF Delhi,GHONDA
RAJIV KUMAR,Samras Samaj Party,150,NCT OF Delhi,GHONDA
NAVEEN TIWARI,Shivsena,129,NCT OF Delhi,GHONDA
None of the Above,None of the Above,500,NCT OF Delhi,GHONDA
GOPAL RAI,Aam Aadmi Party,75928,NCT OF Delhi,BABARPUR
NARESH GAUR,Bharatiya Janata Party,40440,NCT OF Delhi,BABARPUR
ZAKIR KHAN,Indian National Congress,9916,NCT OF Delhi,BABARPUR
MOHD ABDUL HAQ,Bahujan Samaj Party,754,NCT OF Delhi,BABARPUR
MOHD SHAHIN,Independent,149,NCT OF Delhi,BABARPUR
ANIL KUMAR SHARMA,Rashtriya Bahujan Congress Party,141,NCT OF Delhi,BABARPUR
KESAR,Peace Party,96,NCT OF Delhi,BABARPUR
PRADEEP JAIN,Independent,87,NCT OF Delhi,BABARPUR
ARUN THAKUR,Samyak Parivartan Party,62,NCT OF Delhi,BABARPUR
NADEEM AHMAD,Independent,52,NCT OF Delhi,BABARPUR
MOHD  NAZIR,Aman Samaj Party,48,NCT OF Delhi,BABARPUR
MOHD ARIF,Independent,43,NCT OF Delhi,BABARPUR
FAZUL RAHMAN,Independent,43,NCT OF Delhi,BABARPUR
None of the Above,None of the Above,290,NCT OF Delhi,BABARPUR
FATEH SINGH,Aam Aadmi Party,71240,NCT OF Delhi,GOKALPUR
RANJEET SINGH,Bharatiya Janata Party,39272,NCT OF Delhi,GOKALPUR
SURENDRA KUMAR,Bahujan Samaj Party,30080,NCT OF Delhi,GOKALPUR
KU. RINKU,Indian National Congress,3344,NCT OF Delhi,GOKALPUR
MANGE RAM,Bhartiya Sarvodaya Party,1241,NCT OF Delhi,GOKALPUR
MANOJ KUMAR,Garib Raj Party,384,NCT OF Delhi,GOKALPUR
VEER PAL SINGH,Independent,153,NCT OF Delhi,GOKALPUR
None of the Above,None of the Above,526,NCT OF Delhi,GOKALPUR
JAGDISH PRADHAN,Bharatiya Janata Party,58388,NCT OF Delhi,MUSTAFABAD
HASAN AHMED,Indian National Congress,52357,NCT OF Delhi,MUSTAFABAD
MOHD YUNUS,Aam Aadmi Party,49791,NCT OF Delhi,MUSTAFABAD
NEERU CHAUDHARY,Bahujan Samaj Party,2893,NCT OF Delhi,MUSTAFABAD
ALI ABBAS,Hind Congress Party,418,NCT OF Delhi,MUSTAFABAD
SHER KHA MALIK,Independent,399,NCT OF Delhi,MUSTAFABAD
JAI SINGH CHAUDHARY,Independent,169,NCT OF Delhi,MUSTAFABAD
SARFUDDIN,Gareeb Aadmi Party,138,NCT OF Delhi,MUSTAFABAD
KALI CHARAN,Independent,129,NCT OF Delhi,MUSTAFABAD
None of the Above,None of the Above,587,NCT OF Delhi,MUSTAFABAD
VED PARKASH,Aam Aadmi Party,109259,NCT OF Delhi,BAWANA
GUGAN SINGH,Bharatiya Janata Party,59236,NCT OF Delhi,BAWANA
SURENDER KUMAR,Indian National Congress,14846,NCT OF Delhi,BAWANA
GAJANAND,Bahujan Samaj Party,3657,NCT OF Delhi,BAWANA
AMOD PASWAN,Bhartiya Janta Dal,426,NCT OF Delhi,BAWANA
RAM BABU,Rashtriya Bahujan Hitay Party,366,NCT OF Delhi,BAWANA
None of the Above,None of the Above,870,NCT OF Delhi,BAWANA
KAPIL MISHRA,Aam Aadmi Party,101865,NCT OF Delhi,KARAWAL NAGAR
MOHAN SINGH BISHT,Bharatiya Janata Party,57434,NCT OF Delhi,KARAWAL NAGAR
SATAN PAL DAYMA,Indian National Congress,5362,NCT OF Delhi,KARAWAL NAGAR
DHARMENDRA SINGH,Bahujan Samaj Party,2202,NCT OF Delhi,KARAWAL NAGAR
RANJIT TIWARI,Communist Party of India  (Marxist),712,NCT OF Delhi,KARAWAL NAGAR
SUNDER SINGH DEDHA,Independent,696,NCT OF Delhi,KARAWAL NAGAR
DHARM DASS,Rashtriya Bahujan Hitay Party,279,NCT OF Delhi,KARAWAL NAGAR
JOGINDER SINGH,Independent,211,NCT OF Delhi,KARAWAL NAGAR
SHYAM PAL SINGH,National Apni Party,151,NCT OF Delhi,KARAWAL NAGAR
SARYUG NARYAN,Samras Samaj Party,146,NCT OF Delhi,KARAWAL NAGAR
ANIL KUMAR,Asankhya Samaj Party,144,NCT OF Delhi,KARAWAL NAGAR
PRAHLAD KUMAR GUPTA,Hindusthan Nirman Dal,115,NCT OF Delhi,KARAWAL NAGAR
None of the Above,None of the Above,888,NCT OF Delhi,KARAWAL NAGAR
SUKHVIR SINGH,Aam Aadmi Party,94206,NCT OF Delhi,MUNDKA
AZAD SINGH,Bharatiya Janata Party,53380,NCT OF Delhi,MUNDKA
REETA,Indian National Congress,13446,NCT OF Delhi,MUNDKA
OM PRAKASH,Bahujan Samaj Party,778,NCT OF Delhi,MUNDKA
RAVI SWAROOP,Rashtriya Bahujan Hitay Party,550,NCT OF Delhi,MUNDKA
UDEY VIR,Samras Samaj Party,361,NCT OF Delhi,MUNDKA
VIRENDER SINGH,Independent,341,NCT OF Delhi,MUNDKA
RAMBALI SHAH,Independent,240,NCT OF Delhi,MUNDKA
ANIL KUMAR,Independent,179,NCT OF Delhi,MUNDKA
VIJAY KUMAR GARG,Delhi Janta Party,157,NCT OF Delhi,MUNDKA
JASMER SINGH,Gareeb Aadmi Party,117,NCT OF Delhi,MUNDKA
RAJ KUMAR PARIHAR,Nationalist Congress Party,110,NCT OF Delhi,MUNDKA
LAXMI,Republican Party of India,78,NCT OF Delhi,MUNDKA
KARAM CHAND LATHWAL,Bhartiya Pragatisheel Congress,61,NCT OF Delhi,MUNDKA
RAKESH SHARMA,All India Forward Bloc,52,NCT OF Delhi,MUNDKA
None of the Above,None of the Above,576,NCT OF Delhi,MUNDKA
RITURAJ GOVIND,Aam Aadmi Party,97727,NCT OF Delhi,KIRARI
ANIL JHA,Bharatiya Janata Party,52555,NCT OF Delhi,KIRARI
PRATYUSH KANTH,Indian National Congress,2086,NCT OF Delhi,KIRARI
D.N. BHAGAT KUSHWAHA,Bahujan Samaj Party,2021,NCT OF Delhi,KIRARI
AMRESH SHARMA,Deshbhakt Nirman Party,1499,NCT OF Delhi,KIRARI
PUSPRAJ SINGH,Independent,763,NCT OF Delhi,KIRARI
BANSHIDHAR MISHRA,Hind Congress Party,339,NCT OF Delhi,KIRARI
RASAT GARG,Poorvanchal Rashtriya Congress,258,NCT OF Delhi,KIRARI
ABINAV SANJAY PRAJAPATI,Nationalist Congress Party,224,NCT OF Delhi,KIRARI
RAJINDER KUMAR,Shivsena,173,NCT OF Delhi,KIRARI
None of the Above,None of the Above,840,NCT OF Delhi,KIRARI
