State,Constituency,Candidate,Party,Votes,Rnk
Chhattisgarh,BILASPUR,LAKHAN LAL SAHU,Bharatiya Janata Party,561387,1
Chhattisgarh,BILASPUR,KARUNA SHUKLA,Indian National Congress,384951,2
Gujarat,Bharuch,VASAVA MANSUKHBHAI DHANJIBHAI,Bharatiya Janata Party,548902,1
Gujarat,Bharuch,PATEL JAYESHBHAI AMBALALBHAI (JAYESH KAKA),Indian National Congress,395629,2
Gujarat,Gandhinagar,L.K.ADVANI,Bharatiya Janata Party,773539,1
Gujarat,Gandhinagar,KIRITBHAI ISHVARBHAI PATEL,Indian National Congress,290418,2
Gujarat,Junagadh,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,513179,1
Gujarat,Junagadh,PUNJABHAI BHIMABHAI VANSH,Indian National Congress,377347,2
Gujarat,Surat,DARSHANA VIKRAM JARDOSH,Bharatiya Janata Party,718412,1
Gujarat,Surat,DESAI NAISHADHBHAI BHUPATBHAI,Indian National Congress,185222,2
Haryana,Kurukshetra,RAJ KUMAR SAINI,Bharatiya Janata Party,418112,1
Haryana,Kurukshetra,BALBIR SINGH SAINI,Indian National Lok Dal,288376,2
Jammu & Kashmir,Ladakh,THUPSTAN CHHEWANG,Bharatiya Janata Party,31111,1
Jammu & Kashmir,Ladakh,GHULAM RAZA,Independent,31075,2
Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,379507,1
Jharkhand,Rajmahal,HEMLAL MURMU,Bharatiya Janata Party,338170,2
Karnataka,Dharwad,PRALHAD JOSHI,Bharatiya Janata Party,545395,1
Karnataka,Dharwad,VINAY KULKARNI,Indian National Congress,431738,2
Kerala,Wayanad,M I SHANAVAS,Indian National Congress,377035,1
Kerala,Wayanad,SATHYAN MOKERI,Communist Party of India,356165,2
Madhya Pradesh,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,558387,1
Madhya Pradesh,DHAR,UMANG SINGHAR,Indian National Congress,454059,2
Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,Bharatiya Janata Party,669128,1
Madhya Pradesh,HOSHANGABAD,"DEVENDRA PATEL ""GUDDU BHAIYA""",Indian National Congress,279168,2
Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,Bharatiya Janata Party,585720,1
Madhya Pradesh,MANDLA,OMKAR SINGH MARKAM,Indian National Congress,475251,2
Maharashtra,Maval,APPA ALIAS SHRIRANG CHANDU BARNE,Shivsena,512226,1
Maharashtra,Maval,JAGTAP LAXMANBHAU PANDURANG,Peasants And Workers Party of India,354829,2
Maharashtra,Nandurbar,DR.GAVIT HEENA VAIJAYKUMAR,Bharatiya Janata Party,579486,1
Maharashtra,Nandurbar,GAVIT MANIKRAO HODLYA,Indian National Congress,472581,2
Maharashtra,Pune,ANIL SHIROLE,Bharatiya Janata Party,569825,1
Maharashtra,Pune,DR.VISHWAJEET PATANGRAO KADAM,Indian National Congress,254056,2
NCT OF Delhi,WEST DELHI,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,651395,1
NCT OF Delhi,WEST DELHI,JARNAIL SINGH,Aam Aadmi Party,382809,2
Odisha,Kandhamal,HEMENDRA CHANDRA SINGH,Biju Janata Dal,421458,1
Odisha,Kandhamal,HARIHAR KARAN,Indian National Congress,240441,2
Punjab,Faridkot,PROF. SADHU SINGH,Aam Aadmi Party,450751,1
Punjab,Faridkot,PARAMJIT KAUR GULSHAN,Shiromani Akali Dal,278235,2
Rajasthan,Alwar,CHAND NATH,Bharatiya Janata Party,642278,1
Rajasthan,Alwar,BHANWAR JITENDRA SINGH,Indian National Congress,358383,2
Rajasthan,Barmer,COL. SONA RAM,Bharatiya Janata Party,488747,1
Rajasthan,Barmer,JASWANT SINGH,Independent,401286,2
Rajasthan,Rajsamand,HARIOM SINGH RATHORE,Bharatiya Janata Party,644794,1
Rajasthan,Rajsamand,GOPAL SINGH SHEKHAWAT,Indian National Congress,249089,2
Tamil Nadu,Theni,"PARTHIPAN, R.",All India Anna Dravida Munnetra Kazhagam,571254,1
Tamil Nadu,Theni,PON. MUTHURAMALINGAM,Dravida Munnetra Kazhagam,256722,2
Tamil Nadu,Tiruppur,V.SATHYABAMA,All India Anna Dravida Munnetra Kazhagam,442778,1
Tamil Nadu,Tiruppur,N.DINESHKUMAR,Desiya Murpokku Dravida Kazhagam,263463,2
Tamil Nadu,Tiruvannamalai,VANAROJA R,All India Anna Dravida Munnetra Kazhagam,500751,1
Tamil Nadu,Tiruvannamalai,ANNADURAI C N,Dravida Munnetra Kazhagam,332145,2
Tamil Nadu,Virudhunagar,RADHAKRISHNAN T,All India Anna Dravida Munnetra Kazhagam,406694,1
Tamil Nadu,Virudhunagar,VAIKO,Marumalarchi Dravida Munnetra Kazhagam,261143,2
Uttar Pradesh,Aonla,DHARMENDRA KUMAR,Bharatiya Janata Party,409907,1
Uttar Pradesh,Aonla,KUNWAR SARVRAJ SINGH,Samajwadi Party,271478,2
Uttar Pradesh,Bhadohi,VIRENDRA SINGH,Bharatiya Janata Party,403544,1
Uttar Pradesh,Bhadohi,RAKESH DHAR TRIPATHI,Bahujan Samaj Party,245505,2
Uttar Pradesh,Dhaurahra,REKHA,Bharatiya Janata Party,360357,1
Uttar Pradesh,Dhaurahra,DAUD AHMAD,Bahujan Samaj Party,234682,2
Uttar Pradesh,Etah,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,474978,1
Uttar Pradesh,Etah,KU. DEVENDRA SINGH YADAV,Samajwadi Party,273977,2
Uttar Pradesh,Ghaziabad,VIJAY KUMAR SINGH,Bharatiya Janata Party,758482,1
Uttar Pradesh,Ghaziabad,RAJ BABBAR,Indian National Congress,191222,2
Uttar Pradesh,Machhlishahr,RAM CHARITRA NISHAD,Bharatiya Janata Party,438210,1
Uttar Pradesh,Machhlishahr,BHOLANATH ALIAS B.P. SAROJ,Bahujan Samaj Party,266055,2
West Bengal,Bolpur,ANUPAM HAZRA,All India Trinamool Congress,630693,1
West Bengal,Bolpur,DOME RAMCHANDRA,Communist Party of India  (Marxist),394581,2
West Bengal,Purulia,DR. MRIGANKA MAHATO,All India Trinamool Congress,468277,1
West Bengal,Purulia,NARAHARI  MAHATO,All India Forward Bloc,314400,2
Andhra Pradesh,Kadapa,Y.S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,671983,1
Andhra Pradesh,Kadapa,SRINIVASA REDDY REDDEPPAGARI,Telugu Desam,481660,2
Andhra Pradesh,Mahbubnagar,AP JITHENDER REDDY,Telangana Rashtra Samithi,334228,1
Andhra Pradesh,Mahbubnagar,JAIPAL REDDY SUDINI,Indian National Congress,331638,2
Andhra Pradesh,Medak,KALVAKUNTLA CHANDRASEKHAR RAO,Telangana Rashtra Samithi,657492,1
Andhra Pradesh,Medak,DR.P. SHRAVAN KUMAR REDDY,Indian National Congress,260463,2
Andhra Pradesh,Narsapuram,GOKARAJU GANGA RAJU,Bharatiya Janata Party,540306,1
Andhra Pradesh,Narsapuram,VANKA RAVINDRANATH,Yuvajana Sramika Rythu Congress Party,454955,2
Bihar,Maharajganj,"JANARDAN SINGH ""SIGRIWAL""",Bharatiya Janata Party,320753,1
Bihar,Maharajganj,PRABHU NATH SINGH,Rashtriya Janata Dal,282338,2
Bihar,Siwan,OM PRAKASH YADAV,Bharatiya Janata Party,372670,1
Bihar,Siwan,HENA SHAHAB,Rashtriya Janata Dal,258823,2
Bihar,Valmiki Nagar,SATISH CHANDRA DUBEY,Bharatiya Janata Party,364011,1
Bihar,Valmiki Nagar,PURNMASI RAM,Indian National Congress,246218,2
Chhattisgarh,BASTAR,DINESH KASHYAP,Bharatiya Janata Party,385829,1
Chhattisgarh,BASTAR,DEEPAK KARMA (BUNTY),Indian National Congress,261470,2
Jammu & Kashmir,Baramulla,MUZAFFAR HUSSAIN BAIG,Jammu & Kashmir Peoples Democratic Party,175277,1
Jammu & Kashmir,Baramulla,SHARIEF UD-DIN SHARIQ,Jammu & Kashmir National Conference,146058,2
Jharkhand,Khunti,KARIA MUNDA,Bharatiya Janata Party,269185,1
Jharkhand,Khunti,ANOSH EKKA,Jharkhand Party,176937,2
Karnataka,Bijapur,RAMESH JIGAJINAGI,Bharatiya Janata Party,471757,1
Karnataka,Bijapur,PRAKASH RATHOD,Indian National Congress,401938,2
Karnataka,Mandya,C.S.PUTTARAJU,Janata Dal  (Secular),524370,1
Karnataka,Mandya,RAMYA,Indian National Congress,518852,2
Kerala,Idukki,ADV.JOICE GEORGE,Independent,382019,1
Kerala,Idukki,ADV.DEAN KURIAKOSE,Indian National Congress,331477,2
Madhya Pradesh,BHOPAL,ALOK SANJAR,Bharatiya Janata Party,714178,1
Madhya Pradesh,BHOPAL,P C SHARMA (PRAKASH MANGILAL SHARMA ),Indian National Congress,343482,2
Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,Bharatiya Janata Party,513079,1
Madhya Pradesh,DAMOH,CHOUDHARY MAHENDRA PRATAP SINGH,Indian National Congress,299780,2
Madhya Pradesh,RATLAM,DILEEPSINGH BHURIA,Bharatiya Janata Party,545970,1
Madhya Pradesh,RATLAM,KANTILAL BHURIA,Indian National Congress,437523,2
Maharashtra,Baramati,SUPRIYA SULE,Nationalist Congress Party,521562,1
Maharashtra,Baramati,MAHADEV JAGANNATH JANKAR,Rashtriya Samaj Paksha,451843,2
Maharashtra,Dhule,DR. BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,529450,1
Maharashtra,Dhule,AMRISHBHAI RASIKLAL PATEL,Indian National Congress,398727,2
Maharashtra,Dindori,CHAVAN HARISHCHANDRA DEORAM,Bharatiya Janata Party,542784,1
Maharashtra,Dindori,DR. BHARATI PRAVIN PAWAR,Nationalist Congress Party,295165,2
Mizoram,MIZORAM,C. L. RUALA,Indian National Congress,210485,1
Mizoram,MIZORAM,ROBERT ROMAWIA ROYTE,Independent,204331,2
Odisha,Kendrapara,BAIJAYANT PANDA,Biju Janata Dal,601574,1
Odisha,Kendrapara,DHARANIDHAR NAYAK,Indian National Congress,392466,2
Punjab,Firozpur,SHER SINGH GHUBAYA,Shiromani Akali Dal,487932,1
Punjab,Firozpur,SUNIL JAKHAR,Indian National Congress,456512,2
Tamil Nadu,Cuddalore,ARUNMOZHITHEVAN.A,All India Anna Dravida Munnetra Kazhagam,481429,1
Tamil Nadu,Cuddalore,NANDAGOPALAKRISHNAN.K.,Dravida Munnetra Kazhagam,278304,2
Tripura,Tripura West,SANKAR PRASAD DATTA,Communist Party of India  (Marxist),671665,1
Tripura,Tripura West,ARUNODAY SAHA,Indian National Congress,168179,2
Uttar Pradesh,Barabanki,PRIYANKA SINGH RAWAT,Bharatiya Janata Party,454214,1
Uttar Pradesh,Barabanki,P. L. PUNIA,Indian National Congress,242336,2
Uttar Pradesh,Bareilly,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,518258,1
Uttar Pradesh,Bareilly,AYESHA ISLAM,Samajwadi Party,277573,2
Uttar Pradesh,Etawah,ASHOK KUMAR DOHAREY,Bharatiya Janata Party,439646,1
Uttar Pradesh,Etawah,PREMDAS KATERIYA,Samajwadi Party,266700,2
Uttar Pradesh,Kushi Nagar,RAJESH PANDEY URF GUDDU,Bharatiya Janata Party,370051,1
Uttar Pradesh,Kushi Nagar,KUNWAR RATANJIT PRATAP NARAIN SINGH,Indian National Congress,284511,2
Uttar Pradesh,Phulpur,KESHAV PRASAD MAURYA,Bharatiya Janata Party,503564,1
Uttar Pradesh,Phulpur,DHARAM RAJ SINGH PATEL,Samajwadi Party,195256,2
Uttarakhand,Tehri Garhwal,MALA RAJYA LAXMI SHAH,Bharatiya Janata Party,446733,1
Uttarakhand,Tehri Garhwal,SAKET BAHUGUNA,Indian National Congress,254230,2
West Bengal,Bangaon,KAPIL KRISHNA THAKUR,All India Trinamool Congress,551213,1
West Bengal,Bangaon,DEBESH DAS,Communist Party of India  (Marxist),404612,2
West Bengal,Krishnanagar,TAPAS PAUL,All India Trinamool Congress,438789,1
West Bengal,Krishnanagar,JHA SHANTANU,Communist Party of India  (Marxist),367534,2
Andhra Pradesh,Malkajgiri,CH.MALLA REDDY,Telugu Desam,523336,1
Andhra Pradesh,Malkajgiri,HANUMANTH RAO MYNAMPALLY,Telangana Rashtra Samithi,494965,2
Andhra Pradesh,Narasaraopet,SAMBASIVA RAO RAYAPATI,Telugu Desam,632464,1
Andhra Pradesh,Narasaraopet,AYODHYA RAMIREDDY ALLA,Yuvajana Sramika Rythu Congress Party,597184,2
Andhra Pradesh,Peddapalle,BALKA SUMAN,Telangana Rashtra Samithi,565496,1
Andhra Pradesh,Peddapalle,G. VIVEKANAND,Indian National Congress,274338,2
Arunachal Pradesh,ARUNACHAL WEST,KIREN RIJIJU,Bharatiya Janata Party,169367,1
Arunachal Pradesh,ARUNACHAL WEST,TAKAM SANJOY,Indian National Congress,127629,2
Bihar,Bhagalpur,SHAILESH KUMAR URPH BULO MANDAL,Rashtriya Janata Dal,367623,1
Bihar,Bhagalpur,SYED SHAHNAWAZ HUSSAIN,Bharatiya Janata Party,358138,2
Chhattisgarh,RAIGARH,VISHNU DEO SAI,Bharatiya Janata Party,662478,1
Chhattisgarh,RAIGARH,ARTI SINGH,Indian National Congress,445728,2
Gujarat,Ahmedabad East,PARESH RAWAL,Bharatiya Janata Party,633582,1
Gujarat,Ahmedabad East,PATEL HIMMATSINGH PRAHLADSINGH,Indian National Congress,306949,2
Gujarat,Chhota Udaipur,RAMSINH RATHWA,Bharatiya Janata Party,607916,1
Gujarat,Chhota Udaipur,NARANBHAI JEMALABHAI RATHVA,Indian National Congress,428187,2
Gujarat,Rajkot,KUNDARIYA MOHANBHAI KALYANJIBHAI,Bharatiya Janata Party,621524,1
Gujarat,Rajkot,KUNVARJIBHAI MOHANBHAI BAVALIYA,Indian National Congress,375096,2
Haryana,Rohtak,DEEPENDER SINGH HOODA,Indian National Congress,490063,1
Haryana,Rohtak,OM PARKASH DHANKAR,Bharatiya Janata Party,319436,2
Jammu & Kashmir,Anantnag,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,200429,1
Jammu & Kashmir,Anantnag,MIRZA MEHBOOB BEG,Jammu & Kashmir National Conference,135012,2
Jharkhand,Giridih,RAVINDRA KUMAR PANDEY,Bharatiya Janata Party,391913,1
Jharkhand,Giridih,JAGARNATH MAHTO,Jharkhand Mukti Morcha,351600,2
Karnataka,Bangalore Rural,D K SURESH,Indian National Congress,652723,1
Karnataka,Bangalore Rural,MUNIRAJU GOWDA . P,Bharatiya Janata Party,421243,2
Karnataka,Koppal,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,486383,1
Karnataka,Koppal,BASAVARAJ HITNAL,Indian National Congress,453969,2
Kerala,Kasaragod,P KARUNAKARAN,Communist Party of India  (Marxist),384964,1
Kerala,Kasaragod,ADV. T SIDDIQUE,Indian National Congress,378043,2
Kerala,Malappuram,E. AHAMED,Indian Union Muslim League,437723,1
Kerala,Malappuram,P.K.SAINABA,Communist Party of India  (Marxist),242984,2
Madhya Pradesh,SATNA,GANESH SINGH,Bharatiya Janata Party,375288,1
Madhya Pradesh,SATNA,AJAY  SINGH RAHUL BHAIYYA,Indian National Congress,366600,2
Maharashtra,Mumbai North central,POONAM MAHAJAN ALIAS POONAM VAJENDLA RAO,Bharatiya Janata Party,478535,1
Maharashtra,Mumbai North central,DUTT PRIYA SUNIL,Indian National Congress,291764,2
Maharashtra,Shirdi,LOKHANDE SADASHIV KISAN,Shivsena,532936,1
Maharashtra,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Indian National Congress,333014,2
NCT OF Delhi,CHANDNI CHOWK,DR. HARSH VARDHAN,Bharatiya Janata Party,437938,1
NCT OF Delhi,CHANDNI CHOWK,ASHUTOSH,Aam Aadmi Party,301618,2
NCT OF Delhi,NORTH WEST DELHI,UDIT RAJ,Bharatiya Janata Party,629860,1
NCT OF Delhi,NORTH WEST DELHI,RAKHI BIRLA,Aam Aadmi Party,523058,2
Odisha,Bhadrak,ARJUN CHARAN SETHI,Biju Janata Dal,502338,1
Odisha,Bhadrak,SANGRAM KESHARI JENA,Indian National Congress,322979,2
Punjab,Sangrur,BHAGWANT MANN,Aam Aadmi Party,533237,1
Punjab,Sangrur,SUKHDEV SINGH DHINDSA,Shiromani Akali Dal,321516,2
Rajasthan,Chittorgarh,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,703236,1
Rajasthan,Chittorgarh,GIRIJA VYAS,Indian National Congress,386379,2
Rajasthan,DHOLPUR,MANOJ RAJORIA,Bharatiya Janata Party,402407,1
Rajasthan,DHOLPUR,LAKKHIRAM,Indian National Congress,375191,2
Tamil Nadu,Chennai North,VENKATESH BABU .T.G,All India Anna Dravida Munnetra Kazhagam,406704,1
Tamil Nadu,Chennai North,GIRIRAJAN .R,Dravida Munnetra Kazhagam,307000,2
Uttar Pradesh,Basti,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,Bharatiya Janata Party,357680,1
Uttar Pradesh,Basti,"BRIJ KISHOR SINGH ""DIMPAL""",Samajwadi Party,324118,2
Uttar Pradesh,Bijnor,KUNWAR BHARTENDRA,Bharatiya Janata Party,486913,1
Uttar Pradesh,Bijnor,SHAHNAWAZ RANA,Samajwadi Party,281139,2
Uttar Pradesh,Chandauli,DR MAHENDRA NATH PANDEY,Bharatiya Janata Party,414135,1
Uttar Pradesh,Chandauli,ANIL KUMAR MAURYA,Bahujan Samaj Party,257379,2
Uttar Pradesh,Hathras,RAJESH KUMAR DIWAKER,Bharatiya Janata Party,544277,1
Uttar Pradesh,Hathras,MANOJ KUMAR SONI,Bahujan Samaj Party,217891,2
Uttar Pradesh,Jaunpur,KRISHNA PRATAP 'K.P.',Bharatiya Janata Party,367149,1
Uttar Pradesh,Jaunpur,SUBHASH PANDEY,Bahujan Samaj Party,220839,2
Uttar Pradesh,Jhansi,UMA BHARATI,Bharatiya Janata Party,575889,1
Uttar Pradesh,Jhansi,DR. CHANDRAPAL SINGH YADAV,Samajwadi Party,385422,2
Uttar Pradesh,Meerut,RAJENDRA AGARWAL,Bharatiya Janata Party,532981,1
Uttar Pradesh,Meerut,MOHD.SHAHID AKHLAK,Bahujan Samaj Party,300655,2
Uttar Pradesh,Sambhal,SATYAPAL SINGH,Bharatiya Janata Party,360242,1
Uttar Pradesh,Sambhal,DR SHAFIQ- UR RAHMAN BARQ,Samajwadi Party,355068,2
West Bengal,Alipurduars,DASRATH TIRKEY,All India Trinamool Congress,362453,1
West Bengal,Alipurduars,MANOHAR TIRKEY,Revolutionary Socialist Party,341056,2
West Bengal,Medinipur,SANDHYA ROY,All India Trinamool Congress,579860,1
West Bengal,Medinipur,PRABODH PANDA,Communist Party of India,395194,2
Andhra Pradesh,Karimnagar,VINOD KUMAR BOINAPALLY,Telangana Rashtra Samithi,505783,1
Andhra Pradesh,Karimnagar,PONNAM PRABHAKAR,Indian National Congress,300706,2
Andhra Pradesh,Zahirabad,B.B. PATIL,Telangana Rashtra Samithi,508661,1
Andhra Pradesh,Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,364030,2
Bihar,Khagaria,CHOUDHARY MAHBOOB ALI KAISER,Lok Jan Shakti Party,313806,1
Bihar,Khagaria,KRISHNA KUMARI YADAV,Rashtriya Janata Dal,237803,2
Bihar,Pataliputra,RAM KRIPAL YADAV,Bharatiya Janata Party,383262,1
Bihar,Pataliputra,MISHA BHARTI,Rashtriya Janata Dal,342940,2
Bihar,Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,400452,1
Bihar,Purvi Champaran,BINOD KUMAR SRIVASTAVA,Rashtriya Janata Dal,208289,2
Bihar,Supaul,RANJEET RANJAN,Indian National Congress,332927,1
Bihar,Supaul,DILESHWAR KAMAIT,Janata Dal  (United),273255,2
Chhattisgarh,RAJNANDGAON,ABHISHEK SINGH,Bharatiya Janata Party,643473,1
Chhattisgarh,RAJNANDGAON,KAMLESHWAR VERMA,Indian National Congress,407562,2
Jharkhand,Hazaribagh,JAYANT SINHA,Bharatiya Janata Party,406931,1
Jharkhand,Hazaribagh,SAURABH NARAIN SINGH,Indian National Congress,247803,2
Karnataka,Chamarajanagar,R. DHRUVANARAYANA,Indian National Congress,567782,1
Karnataka,Chamarajanagar,A. R. KRISHNA MURTHY,Bharatiya Janata Party,426600,2
Kerala,Alappuzha,K C VENUGOPAL,Indian National Congress,462525,1
Kerala,Alappuzha,C B CHANDRABABU,Communist Party of India  (Marxist),443118,2
Kerala,Vadakara,MULLAPPALLY RAMACHANDRAN,Indian National Congress,416479,1
Kerala,Vadakara,ADV.A.N.SHAMSEER,Communist Party of India  (Marxist),413173,2
Madhya Pradesh,CHHINDWARA,KAMAL NATH,Indian National Congress,559755,1
Madhya Pradesh,CHHINDWARA,CHOUDHARY CHANDRABHAN KUBER SINGH,Bharatiya Janata Party,443218,2
Madhya Pradesh,INDORE,SUMITRA MAHAJAN (TAI),Bharatiya Janata Party,854972,1
Madhya Pradesh,INDORE,SATYANARAYAN PATEL,Indian National Congress,388071,2
Madhya Pradesh,JABALPUR,RAKESH SINGH,Bharatiya Janata Party,564609,1
Madhya Pradesh,JABALPUR,VIVEK KRISHNA TANKHA,Indian National Congress,355970,2
Madhya Pradesh,MANDSOUR,SUDHIR GUPTA,Bharatiya Janata Party,698335,1
Madhya Pradesh,MANDSOUR,MEENAKSHI NATARAJAN,Indian National Congress,394686,2
Madhya Pradesh,SAGAR,LAXMI NARAYAN YADAV,Bharatiya Janata Party,482580,1
Madhya Pradesh,SAGAR,GOVIND SINGH RAJPUT,Indian National Congress,361843,2
Maharashtra,Jalgaon,A.T. NANA PATIL,Bharatiya Janata Party,647773,1
Maharashtra,Jalgaon,ANNASAHEB DR.SATISH BHASKARRAO PATIL,Nationalist Congress Party,264248,2
Maharashtra,Kolhapur,DHANANJAY BHIMRAO MAHADIK,Nationalist Congress Party,607665,1
Maharashtra,Kolhapur,SANJAY SADASHIV MANDALIK,Shivsena,574406,2
Maharashtra,Mumbai South central,RAHUL RAMESH SHEWALE,Shivsena,381275,1
Maharashtra,Mumbai South central,EKNATH M. GAIKWAD,Indian National Congress,242933,2
Maharashtra,Nagpur,GADKARI NITIN JAIRAM,Bharatiya Janata Party,587767,1
Maharashtra,Nagpur,VILAS MUTTEMWAR,Indian National Congress,302939,2
Maharashtra,Thane,VICHARE RAJAN BABURAO,Shivsena,595364,1
Maharashtra,Thane,SANJEEV GANESH NAIK,Nationalist Congress Party,314065,2
Nagaland,Nagaland,NEIPHIU RIO,Naga Peoples Front,713372,1
Nagaland,Nagaland,K. V. PUSA,Indian National Congress,313147,2
Odisha,Mayurbhanj,RAMA CHANDRA HANSDAH,Biju Janata Dal,393779,1
Odisha,Mayurbhanj,NEPOLE RAGHU MURMU,Bharatiya Janata Party,270913,2
Rajasthan,Ajmer,SANWAR LAL JAT,Bharatiya Janata Party,637874,1
Rajasthan,Ajmer,SACHIN PILOT,Indian National Congress,465891,2
Rajasthan,BARAN,DUSHYANT SINGH,Bharatiya Janata Party,676102,1
Rajasthan,BARAN,PRAMOD BHAYA,Indian National Congress,394556,2
Rajasthan,Jodhpur,GAJENDRASINGH SHEKHAWAT,Bharatiya Janata Party,713515,1
Rajasthan,Jodhpur,CHANDRESH KUMARI,Indian National Congress,303464,2
Tamil Nadu,Kanniyakumari,RADHAKRISHNAN P.,Bharatiya Janata Party,372906,1
Tamil Nadu,Kanniyakumari,VASANTHA KUMAR H.,Indian National Congress,244244,2
Tamil Nadu,Sivaganga,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,475993,1
Tamil Nadu,Sivaganga,DHURAI RAAJ SUBHA,Dravida Munnetra Kazhagam,246608,2
Tamil Nadu,Tenkasi,VASANTHI.M,All India Anna Dravida Munnetra Kazhagam,424586,1
Tamil Nadu,Tenkasi,DR.KRISHNASAMY.K.,Puthiya Tamilagam,262812,2
Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,298845,1
Uttar Pradesh,Domariyaganj,MUHAMMAD MUQEEM,Bahujan Samaj Party,195257,2
Uttar Pradesh,Mohanlalganj,KAUSHAL KISHORE,Bharatiya Janata Party,455274,1
Uttar Pradesh,Mohanlalganj,R.K CHAUDHARY,Bahujan Samaj Party,309858,2
Uttar Pradesh,Rampur,DR. NEPAL SINGH,Bharatiya Janata Party,358616,1
Uttar Pradesh,Rampur,NASEER AHMAD KHAN,Samajwadi Party,335181,2
Uttarakhand,Garhwal,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janata Party,405690,1
Uttarakhand,Garhwal,(DR) HARAK SINGH RAWAT,Indian National Congress,221164,2
Uttarakhand,udhamsingh Nagar,BHAGAT SINGH KOSHYARI,Bharatiya Janata Party,636769,1
Uttarakhand,udhamsingh Nagar,K.C.SINGH BABA,Indian National Congress,352052,2
West Bengal,Jadavpur,SUGATA BOSE,All India Trinamool Congress,584244,1
West Bengal,Jadavpur,SUJAN CHAKRABORTY,Communist Party of India  (Marxist),459041,2
West Bengal,Jangipur,ABHIJIT MUKHERJEE,Indian National Congress,378201,1
West Bengal,Jangipur,MUZAFFAR HOSSAIN,Communist Party of India  (Marxist),370040,2
West Bengal,Kolkata Dakshin,SUBRATA BAKSHI,All India Trinamool Congress,431715,1
West Bengal,Kolkata Dakshin,TATHAGATA ROY,Bharatiya Janata Party,295376,2
West Bengal,Maldaha Uttar,MAUSAM NOOR,Indian National Congress,388609,1
West Bengal,Maldaha Uttar,KHAGEN MURMU,Communist Party of India  (Marxist),322904,2
West Bengal,durgapur,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress,554521,1
West Bengal,durgapur,SK. SAIDUL HAQUE,Communist Party of India  (Marxist),447190,2
Andhra Pradesh,CHELVELLA,KONDA VISHWESHWAR REDDY,Telangana Rashtra Samithi,435077,1
Andhra Pradesh,CHELVELLA,PATLOLLA KARTIK REDDY,Indian National Congress,362054,2
Andhra Pradesh,Hindupur,KRISTAPPA NIMMALA,Telugu Desam,604291,1
Andhra Pradesh,Hindupur,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party,506966,2
Assam,Jorhat,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,456420,1
Assam,Jorhat,BIJOY KRISHNA HANDIQUE,Indian National Congress,354000,2
Assam,Karimganj,RADHESHYAM BISWAS,All India United Democratic Front,362866,1
Assam,Karimganj,KRISHNA DAS,Bharatiya Janata Party,260772,2
Bihar,Hajipur (SC),RAMVILAS PASWAN,Lok Jan Shakti Party,455652,1
Bihar,Hajipur (SC),SANJEEV PRASAD TONI,Indian National Congress,230152,2
Bihar,Paschim Champaran,DR. SANJAY JAISWAL,Bharatiya Janata Party,371232,1
Bihar,Paschim Champaran,PRAKASH JHA,Janata Dal  (United),260978,2
Chandigarh,CHANDIGARH,KHER KIRRON ANUPAM,Bharatiya Janata Party,191362,1
Chandigarh,CHANDIGARH,PAWAN KUMAR BANSAL,Indian National Congress,121720,2
Goa,North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,237903,1
Goa,North Goa,RAVI NAIK,Indian National Congress,132304,2
Gujarat,Kachchh,CHAVDA VINOD LAKHAMASHI,Bharatiya Janata Party,562855,1
Gujarat,Kachchh,DR.DINESH PARMAR,Indian National Congress,308373,2
Gujarat,Mahesana,PATEL JAYSHREEBEN KANUBHAI,Bharatiya Janata Party,580250,1
Gujarat,Mahesana,PATEL JIVABHAI AMBALAL,Indian National Congress,371359,2
Haryana,Faridabad,KRISHAN PAL,Bharatiya Janata Party,652516,1
Haryana,Faridabad,AVTAR SINGH BHADANA,Indian National Congress,185643,2
